iter	Passed	Remaining
0	5	5191
1	8	4355
2	11	3692
3	13	3379
4	15	3181
5	18	3094
6	20	2905
7	22	2757
8	23	2635
9	25	2537
10	27	2441
11	28	2355
12	30	2278
13	31	2215
14	33	2190
15	34	2130
16	35	2081
17	37	2040
18	38	2007
19	40	1974
20	41	1938
21	42	1908
22	44	1881
23	45	1854
24	47	1838
25	48	1829
26	50	1808
27	51	1788
28	52	1769
29	54	1756
30	55	1743
31	57	1733
32	58	1718
33	60	1705
34	61	1693
35	63	1690
36	64	1677
37	65	1663
38	67	1654
39	68	1641
40	69	1630
41	71	1620
42	72	1610
43	73	1600
44	74	1590
45	76	1582
46	78	1582
47	79	1575
48	80	1570
49	82	1563
50	83	1556
51	84	1547
52	86	1540
53	87	1533
54	88	1526
55	90	1520
56	91	1516
57	93	1513
58	94	1509
59	96	1504
60	97	1498
61	98	1492
62	99	1485
63	101	1481
64	102	1477
65	104	1472
66	105	1470
67	107	1471
68	108	1466
69	110	1462
70	111	1457
71	112	1452
72	114	1448
73	115	1443
74	116	1440
75	118	1436
76	119	1432
77	121	1431
78	122	1433
79	124	1430
80	125	1427
81	127	1426
82	128	1416
83	129	1416
84	131	1412
85	132	1408
86	133	1404
87	135	1403
88	137	1402
89	138	1398
90	139	1394
91	140	1391
92	142	1387
93	143	1383
94	144	1380
95	146	1376
96	147	1372
97	148	1370
98	150	1371
99	152	1372
100	153	1368
101	155	1366
102	156	1362
103	157	1360
104	159	1356
105	160	1353
106	161	1350
107	163	1347
108	164	1346
109	166	1347
110	167	1344
111	169	1340
112	170	1337
113	171	1335
114	173	1332
115	174	1330
116	175	1325
117	177	1324
118	178	1321
119	180	1322
120	181	1320
121	182	1316
122	184	1313
123	185	1310
124	186	1307
125	188	1305
126	189	1302
127	191	1301
128	192	1298
129	193	1296
130	195	1296
131	196	1293
132	198	1290
133	199	1287
134	200	1285
135	201	1282
136	203	1280
137	204	1277
138	205	1275
139	207	1272
140	208	1270
141	209	1268
142	211	1267
143	212	1264
144	214	1263
145	215	1260
146	216	1258
147	218	1256
148	219	1254
149	220	1252
150	222	1249
151	224	1249
152	225	1248
153	226	1246
154	228	1244
155	229	1242
156	231	1240
157	232	1238
158	233	1237
159	235	1234
160	236	1230
161	237	1228
162	239	1228
163	240	1226
164	241	1223
165	243	1222
166	244	1219
167	245	1218
168	247	1215
169	248	1213
170	249	1211
171	251	1209
172	252	1209
173	254	1209
174	256	1207
175	257	1205
176	258	1202
177	260	1201
178	261	1199
179	262	1197
180	264	1195
181	265	1193
182	266	1191
183	268	1191
184	269	1189
185	271	1187
186	272	1185
187	274	1183
188	275	1182
189	276	1180
190	278	1179
191	279	1177
192	281	1175
193	283	1176
194	284	1175
195	286	1173
196	287	1172
197	288	1169
198	290	1167
199	291	1165
200	292	1163
201	294	1161
202	295	1159
203	297	1159
204	299	1159
205	300	1157
206	301	1155
207	303	1153
208	304	1151
209	305	1149
210	306	1147
211	308	1145
212	309	1143
213	310	1141
214	312	1141
215	314	1139
216	315	1138
217	316	1135
218	318	1134
219	319	1132
220	320	1130
221	322	1128
222	323	1126
223	324	1125
224	326	1124
225	328	1124
226	329	1122
227	330	1120
228	332	1118
229	333	1117
230	334	1115
231	336	1113
232	337	1111
233	338	1109
234	340	1107
235	342	1107
236	343	1105
237	344	1103
238	345	1101
239	347	1099
240	348	1098
241	350	1096
242	351	1094
243	352	1092
244	354	1090
245	356	1092
246	359	1094
247	360	1094
248	362	1093
249	363	1091
250	365	1089
251	366	1087
252	367	1085
253	369	1083
254	370	1082
255	372	1082
256	373	1080
257	374	1078
258	376	1076
259	377	1074
260	378	1072
261	380	1070
262	381	1069
263	382	1067
264	384	1065
265	386	1065
266	387	1064
267	388	1062
268	390	1060
269	391	1058
270	392	1056
271	394	1054
272	395	1052
273	396	1051
274	398	1049
275	399	1047
276	400	1046
277	402	1044
278	403	1043
279	404	1041
280	406	1039
281	407	1037
282	408	1035
283	410	1034
284	411	1032
285	413	1031
286	414	1030
287	416	1029
288	417	1027
289	418	1025
290	420	1024
291	421	1022
292	423	1020
293	424	1018
294	425	1017
295	426	1015
296	428	1013
297	430	1013
298	431	1012
299	433	1010
300	434	1008
301	435	1007
302	437	1005
303	438	1004
304	439	1002
305	441	1000
306	442	999
307	444	997
308	445	996
309	447	995
310	448	993
311	451	995
312	452	994
313	454	992
314	455	990
315	456	988
316	458	986
317	459	986
318	461	984
319	462	983
320	463	981
321	465	979
322	466	977
323	467	976
324	469	974
325	470	972
326	471	971
327	473	969
328	475	968
329	476	967
330	477	965
331	479	964
332	480	962
333	482	961
334	483	959
335	484	957
336	485	956
337	487	954
338	489	953
339	490	952
340	491	950
341	493	949
342	494	947
343	496	945
344	497	944
345	498	942
346	500	941
347	501	939
348	502	937
349	504	937
350	505	935
351	507	934
352	508	932
353	509	930
354	511	928
355	512	927
356	513	925
357	515	923
358	516	922
359	518	921
360	519	920
361	521	918
362	522	917
363	523	915
364	525	914
365	526	912
366	528	911
367	529	909
368	530	907
369	532	906
370	534	905
371	535	904
372	537	902
373	538	901
374	539	899
375	541	898
376	542	896
377	543	895
378	545	893
379	546	892
380	548	891
381	549	889
382	551	888
383	552	886
384	554	885
385	555	883
386	556	881
387	557	880
388	559	878
389	560	877
390	562	875
391	564	875
392	565	873
393	566	871
394	568	870
395	569	868
396	570	866
397	572	865
398	573	863
399	574	861
400	575	860
401	577	859
402	579	858
403	580	856
404	582	855
405	583	854
406	585	852
407	586	850
408	587	849
409	589	847
410	590	846
411	592	845
412	594	844
413	595	842
414	596	841
415	597	839
416	599	838
417	600	836
418	602	834
419	603	833
420	604	831
421	606	830
422	608	830
423	610	828
424	611	827
425	612	825
426	614	824
427	615	822
428	616	821
429	618	819
430	619	817
431	620	816
432	623	815
433	624	814
434	625	812
435	626	811
436	628	809
437	629	807
438	631	806
439	632	804
440	633	803
441	634	801
442	636	800
443	638	799
444	639	798
445	641	796
446	642	794
447	643	793
448	645	791
449	646	790
450	647	788
451	649	786
452	650	785
453	652	784
454	653	783
455	655	781
456	656	780
457	657	778
458	659	776
459	660	775
460	661	773
461	662	771
462	664	770
463	665	769
464	667	768
465	669	766
466	670	765
467	671	763
468	673	762
469	674	760
470	675	758
471	677	757
472	678	755
473	679	754
474	681	753
475	683	752
476	684	750
477	685	748
478	687	747
479	688	745
480	689	744
481	691	742
482	692	741
483	693	739
484	695	738
485	697	737
486	698	735
487	699	734
488	701	732
489	702	730
490	703	729
491	704	727
492	706	726
493	707	724
494	709	723
495	712	723
496	714	722
497	716	721
498	717	720
499	718	718
500	719	717
501	721	715
502	722	714
503	724	712
504	726	711
505	727	710
506	728	708
507	730	707
508	731	705
509	732	704
510	734	702
511	735	701
512	737	699
513	738	698
514	741	698
515	742	696
516	744	695
517	745	693
518	746	692
519	748	690
520	749	689
521	750	687
522	752	686
523	753	684
524	755	683
525	757	682
526	758	680
527	759	679
528	761	677
529	762	676
530	763	674
531	765	673
532	766	671
533	767	670
534	769	668
535	770	667
536	772	665
537	773	664
538	774	662
539	776	661
540	777	659
541	778	658
542	780	656
543	781	655
544	782	653
545	784	652
546	786	651
547	787	649
548	789	648
549	791	647
550	792	645
551	794	644
552	795	643
553	796	641
554	798	639
555	799	638
556	801	637
557	802	635
558	803	634
559	805	632
560	806	631
561	807	629
562	809	628
563	810	626
564	812	625
565	813	623
566	815	622
567	816	621
568	818	619
569	819	618
570	821	616
571	822	615
572	823	613
573	825	612
574	826	610
575	827	609
576	829	608
577	831	606
578	832	605
579	834	604
580	835	602
581	836	601
582	838	599
583	839	598
584	840	596
585	842	594
586	843	593
587	845	592
588	846	590
589	847	589
590	849	587
591	850	586
592	852	584
593	853	583
594	854	581
595	856	580
596	857	578
597	859	577
598	860	576
599	862	574
600	864	573
601	865	572
602	867	570
603	868	569
604	870	568
605	871	566
606	873	565
607	874	564
608	876	562
609	877	561
610	878	559
611	880	558
612	881	556
613	883	555
614	884	553
615	885	552
616	887	550
617	889	549
618	890	548
619	891	546
620	893	545
621	894	543
622	895	542
623	897	540
624	898	539
625	899	537
626	901	536
627	902	534
628	904	533
629	906	532
630	907	530
631	908	529
632	909	527
633	911	526
634	912	524
635	914	523
636	915	521
637	917	520
638	919	519
639	920	517
640	921	516
641	923	514
642	924	513
643	926	511
644	927	510
645	928	508
646	930	507
647	932	506
648	933	504
649	935	503
650	936	501
651	937	500
652	939	499
653	940	497
654	941	496
655	943	494
656	944	493
657	946	491
658	947	490
659	949	489
660	950	487
661	952	486
662	953	484
663	954	483
664	955	481
665	957	480
666	958	478
667	959	477
668	961	475
669	962	474
670	964	472
671	965	471
672	966	469
673	968	468
674	969	466
675	970	465
676	972	463
677	973	462
678	975	460
679	976	459
680	978	458
681	979	456
682	981	455
683	982	453
684	984	452
685	985	451
686	986	449
687	988	448
688	989	446
689	990	445
690	992	443
691	993	442
692	995	440
693	996	439
694	998	438
695	999	436
696	1000	435
697	1002	433
698	1003	432
699	1004	430
700	1006	429
701	1008	427
702	1009	426
703	1011	425
704	1012	423
705	1014	422
706	1015	420
707	1017	419
708	1018	418
709	1019	416
710	1021	415
711	1023	413
712	1024	412
713	1025	410
714	1026	409
715	1028	407
716	1029	406
717	1030	404
718	1032	403
719	1033	401
720	1035	400
721	1037	399
722	1039	398
723	1040	396
724	1042	395
725	1043	393
726	1044	392
727	1046	390
728	1047	389
729	1048	387
730	1050	386
731	1052	385
732	1054	383
733	1055	382
734	1056	381
735	1058	379
736	1059	378
737	1061	376
738	1062	375
739	1064	373
740	1066	372
741	1068	371
742	1069	370
743	1071	368
744	1072	367
745	1073	365
746	1075	364
747	1076	362
748	1078	361
749	1079	359
750	1081	358
751	1083	357
752	1084	355
753	1085	354
754	1086	352
755	1088	351
756	1089	349
757	1090	348
758	1092	346
759	1093	345
760	1095	344
761	1097	342
762	1098	341
763	1099	339
764	1101	338
765	1102	336
766	1103	335
767	1105	333
768	1106	332
769	1107	330
770	1109	329
771	1111	328
772	1112	326
773	1113	325
774	1115	323
775	1116	322
776	1117	320
777	1119	319
778	1120	317
779	1121	316
780	1123	314
781	1125	313
782	1126	312
783	1128	310
784	1129	309
785	1130	307
786	1132	306
787	1133	304
788	1134	303
789	1136	302
790	1137	300
791	1139	299
792	1140	297
793	1142	296
794	1143	294
795	1144	293
796	1146	291
797	1147	290
798	1148	289
799	1150	287
800	1151	286
801	1153	284
802	1154	283
803	1156	281
804	1157	280
805	1158	278
806	1160	277
807	1161	276
808	1162	274
809	1164	273
810	1165	271
811	1167	270
812	1168	268
813	1170	267
814	1171	265
815	1172	264
816	1174	262
817	1175	261
818	1176	260
819	1178	258
820	1179	257
821	1181	255
822	1182	254
823	1184	252
824	1185	251
825	1187	250
826	1188	248
827	1190	247
828	1191	245
829	1192	244
830	1194	242
831	1195	241
832	1197	240
833	1199	238
834	1200	237
835	1201	235
836	1203	234
837	1204	232
838	1205	231
839	1207	229
840	1208	228
841	1209	227
842	1211	225
843	1212	224
844	1214	222
845	1216	221
846	1217	219
847	1218	218
848	1220	216
849	1221	215
850	1222	214
851	1224	212
852	1225	211
853	1227	209
854	1229	208
855	1230	207
856	1231	205
857	1233	204
858	1234	202
859	1235	201
860	1237	199
861	1238	198
862	1240	196
863	1241	195
864	1243	194
865	1245	192
866	1246	191
867	1247	189
868	1249	188
869	1250	186
870	1251	185
871	1253	183
872	1254	182
873	1256	181
874	1257	179
875	1259	178
876	1260	176
877	1261	175
878	1263	173
879	1264	172
880	1265	170
881	1267	169
882	1268	168
883	1270	166
884	1271	165
885	1273	163
886	1275	162
887	1276	161
888	1278	159
889	1279	158
890	1280	156
891	1282	155
892	1283	153
893	1285	152
894	1286	150
895	1288	149
896	1289	148
897	1291	146
898	1292	145
899	1293	143
900	1295	142
901	1296	140
902	1298	139
903	1299	137
904	1300	136
905	1302	135
906	1304	133
907	1305	132
908	1307	130
909	1308	129
910	1310	127
911	1311	126
912	1312	125
913	1314	123
914	1315	122
915	1317	120
916	1319	119
917	1320	117
918	1322	116
919	1323	115
920	1324	113
921	1326	112
922	1327	110
923	1328	109
924	1329	107
925	1331	106
926	1333	104
927	1334	103
928	1336	102
929	1337	100
930	1339	99
931	1340	97
932	1341	96
933	1343	94
934	1344	93
935	1346	92
936	1347	90
937	1349	89
938	1352	87
939	1353	86
940	1354	84
941	1356	83
942	1357	82
943	1358	80
944	1360	79
945	1362	77
946	1363	76
947	1364	74
948	1366	73
949	1367	71
950	1368	70
951	1370	69
952	1371	67
953	1372	66
954	1374	64
955	1376	63
956	1377	61
957	1379	60
958	1380	59
959	1382	57
960	1383	56
961	1384	54
962	1386	53
963	1387	51
964	1389	50
965	1390	48
966	1392	47
967	1393	46
968	1394	44
969	1396	43
970	1397	41
971	1399	40
972	1400	38
973	1401	37
974	1403	35
975	1405	34
976	1406	33
977	1408	31
978	1409	30
979	1410	28
980	1412	27
981	1413	25
982	1414	24
983	1416	23
984	1417	21
985	1419	20
986	1421	18
987	1423	17
988	1425	15
989	1426	14
990	1427	12
991	1429	11
992	1430	10
993	1431	8
994	1433	7
995	1435	5
996	1436	4
997	1437	2
998	1439	1
999	1440	0
